corridor,seller_id,n_orders,avg_delta,std_delta,avg_actual,std_actual,pct_late
SP_PR,1ca7077d890b907f89be8c954a02686a,6,-6.5,9.751922887307918,19.166666666666668,8.207719943240429,0.16666666666666666
SP_PR,1da3aeb70d7989d1e6d9b0e887f97c23,10,-7.2,12.968337510173685,15.7,14.659467930317252,0.2
SP_PR,1e8b33f18b4f7598d87f5cbee2282cc2,8,-14.875,6.706872807586471,8.625,4.103569874424672,0.0
SP_PR,1f50f920176fa81dab994f9023523100,71,-12.887323943661972,6.877601940408024,14.591549295774648,5.743511779860153,0.04225352112676056
SP_PR,2138ccb85b11a4ec1e37afbd1c8eda1f,26,-14.538461538461538,10.362357914030067,11.115384615384615,6.970376879778727,0.038461538461538464
SP_PR,213b25e6f54661939f11710a6fddb871,8,-19.75,8.066686343935071,15.5,2.878491668515698,0.0
SP_PR,218d46b86c1881d022bce9c68a7d4b15,11,-14.636363636363637,4.842989309769893,11.727272727272727,2.2401298663653,0.0
SP_PR,2528513dd95219a6013d4d05176e391a,6,-16.833333333333332,3.656045222185671,9.5,2.588435821108957,0.0
SP_PR,272f092de69afedd4d2969440b37f18f,5,-23.8,6.016643582596529,8.6,2.701851217221259,0.0
SP_PR,2c9e548be18521d1c43cde1c582c6de8,7,-6.142857142857143,6.669047194029329,16.285714285714285,6.156684327197709,0.14285714285714285
SP_PR,2e1c9f22be269ef4643f826c9e650a52,8,-12.375,4.926241685388278,11.5,6.90755280213519,0.0
SP_PR,2e90cb1677d35cfe24eef47d441b7c87,9,-12.222222222222221,8.913161304747291,12.333333333333334,5.722761571129799,0.1111111111111111
SP_PR,2eb70248d66e0e3ef83659f71b244378,11,-8.272727272727273,8.063385257953499,18.454545454545453,6.9478577470129075,0.09090909090909091
SP_PR,3078096983cf766a32a06257648502d1,6,-18.5,5.787918451395113,10.333333333333334,3.3862466931200785,0.0
SP_PR,33a6f4b1e7cdc205511e76ba1b6e0186,7,-14.142857142857142,6.644009116704849,6.714285714285714,2.058663459163551,0.0
SP_PR,37515688008a7a40ac93e3b2e4ab203f,8,-11.625,3.420004177106889,13.625,4.657942525560892,0.0
SP_PR,37be5a7c751166fbc5f8ccba4119e043,10,-14.1,3.5103022978402048,11.9,4.90917508345343,0.0
SP_PR,391fc6631aebcf3004804e51b40bcf1e,26,-13.115384615384615,7.3120553776728086,13.538461538461538,4.527522671225571,0.0
SP_PR,3b15288545f8928d3e65a8f949a28291,5,-17.8,5.805170109479997,10.8,3.271085446759225,0.0
SP_PR,3d871de0142ce09b7081e2b9d1733cb1,53,-15.226415094339623,6.461845144425624,14.377358490566039,6.757407374630108,0.0
SP_PR,3f995f07c49d0d55a99d5c54957f7d81,5,-10.8,3.271085446759225,10.2,3.3466401061363023,0.0
SP_PR,41b39e28db005d9731d9d485a83b4c38,5,-38.8,22.129166274399044,13.2,10.940749517286282,0.0
SP_PR,42b729f859728f5079499127a9c2ef37,5,-13.4,5.727128425310541,7.6,3.646916505762094,0.0
SP_PR,4371b634e0efc0e22b09b52907d9d469,8,-14.75,7.4785407285493495,11.0,4.140393356054125,0.0
SP_PR,4830e40640734fc1c52cd21127c341d4,11,-13.909090909090908,6.963541418768836,12.272727272727273,7.376868022283022,0.0
SP_PR,48436dade18ac8b2bce089ec2a041202,5,-14.2,2.3874672772626644,10.2,1.7888543819998317,0.0
SP_PR,4869f7a5dfa277a7dca6462dcf3b52b2,43,-14.581395348837209,7.91091036281851,12.55813953488372,6.821891671674833,0.023255813953488372
SP_PR,4a3ca9315b744ce9f8e9374361493884,78,-12.628205128205128,11.881568148677248,13.961538461538462,9.90794290795686,0.07692307692307693
SP_PR,4b9750c8ad28220fe6702d4ecb7c898f,11,-11.545454545454545,8.128513226459516,9.454545454545455,6.71362251491155,0.0
SP_PR,4c2b230173bb36f9b240f2b8ac11786e,13,-10.153846153846153,6.011740649847234,12.923076923076923,3.9043040024554623,0.07692307692307693
SP_PR,4d6d651bd7684af3fffabd5f08d12e5a,25,-13.6,4.7346242371139295,11.56,5.7740800133008205,0.04
SP_PR,4e922959ae960d389249c378d1c939f5,14,-12.928571428571429,6.3786215741971395,14.785714285714286,6.314556704443027,0.0
